subject_id,npz_path,metric,win_sec,stride_sec,seg1,seg2,distance
subject35,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject35.npz,l2_norm,15,5,0-15,15-30,1.1453670067285031
subject35,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject35.npz,l2_norm,15,5,5-20,10-25,0.773602585675065
subject35,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject35.npz,l2_norm,15,5,5-20,15-30,1.0712547161028172
subject35,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject35.npz,l2_norm,15,5,10-25,15-30,0.5853416141327475
subject36,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject36.npz,l2_norm,15,5,0-15,5-20,0.4970164284105971
subject36,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject36.npz,l2_norm,15,5,0-15,10-25,0.857589004391739
subject36,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject36.npz,l2_norm,15,5,0-15,15-30,1.0655693031148328
subject36,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject36.npz,l2_norm,15,5,5-20,10-25,0.6111872009125496
subject36,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject36.npz,l2_norm,15,5,5-20,15-30,0.8359540825991741
subject36,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject36.npz,l2_norm,15,5,10-25,15-30,0.6164167541148433
subject37,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject37.npz,l2_norm,15,5,0-15,5-20,0.7252365532208445
subject37,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject37.npz,l2_norm,15,5,0-15,10-25,0.7384017186748685
subject37,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject37.npz,l2_norm,15,5,0-15,15-30,0.705999782338597
subject37,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject37.npz,l2_norm,15,5,5-20,10-25,0.6563640518458719
subject37,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject37.npz,l2_norm,15,5,5-20,15-30,0.8699929492159412
subject37,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject37.npz,l2_norm,15,5,10-25,15-30,0.6644471841084947
subject38,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject38.npz,l2_norm,15,5,0-15,5-20,0.8285385916362883
subject38,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject38.npz,l2_norm,15,5,0-15,10-25,0.9369760357508038
subject38,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject38.npz,l2_norm,15,5,0-15,15-30,0.9594147091142238
subject38,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject38.npz,l2_norm,15,5,5-20,10-25,0.5228442270307526
subject38,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject38.npz,l2_norm,15,5,5-20,15-30,1.1619318970704597
subject38,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject38.npz,l2_norm,15,5,10-25,15-30,1.0643316697929022
